Domain,Topic,Description
Esoteric Wisdom,Principle of Mentalism,Reality is fundamentally consciousness
Esoteric Wisdom,Principle of Correspondence,"As above, so below - patterns repeat at every scale"
Esoteric Wisdom,Principle of Vibration,Everything vibrates at specific frequencies
Esoteric Wisdom,Principle of Polarity,Every truth contains its opposite
Esoteric Wisdom,Principle of Rhythm,Everything flows in cycles
Esoteric Wisdom,Principle of Cause and Effect,Every effect has a cause
Esoteric Wisdom,Principle of Gender,Masculine and feminine principles in all things
Esoteric Wisdom,Tree of Life,Map of consciousness and reality
Esoteric Wisdom,Gematria,Numerical code hidden in language
Esoteric Wisdom,Four Worlds,Manifestation from consciousness to physical
Esoteric Wisdom,Solve et Coagula,Dissolve and coagulate for transformation
Esoteric Wisdom,Seven Planetary Metals,Consciousness correspondences
Esoteric Wisdom,Philosopher's Stone,Metaphor for consciousness transformation
Esoteric Wisdom,Psychological Alchemy,Personal transformation techniques
Esoteric Wisdom,Belief as Tool,Adopt beliefs temporarily for results
Esoteric Wisdom,Sigil Magic,Program subconscious through symbols
Esoteric Wisdom,Paradigm Shifting,Change reality framework at will
Esoteric Wisdom,Results-based Magic,Focus on what works
Psychological Techniques,Anchoring (NLP),Install emotional states via cues
Psychological Techniques,Reframing (NLP),Change meaning to change impact
Psychological Techniques,Modeling (NLP),Copy exact mental strategies
Psychological Techniques,Timeline Therapy,"Heal past, program future"
Psychological Techniques,Meta-programs,Unconscious processing filters
Psychological Techniques,Conversational Hypnosis,Influence through normal conversation
Psychological Techniques,Self-Hypnosis,Habit installation and programming
Psychological Techniques,Ericksonian Techniques,Indirect suggestion
Psychological Techniques,Trance States,Access non-ordinary consciousness
Psychological Techniques,Cognitive Biases,Systematic decision distortions
Psychological Techniques,Ethical Bias Use,Ethical influence and persuasion
Psychological Techniques,Mental Models,Frameworks for reasoning
Psychological Techniques,Decision Frameworks,Reduce emotional interference
Consciousness Expansion,Jhana States,Eight levels of absorption
Consciousness Expansion,Vipassana Insight,Direct perception of reality
